boro,precinct,statistical_murder_flag,vic_age_group,vic_sex,vic_race
Manhattan,34,No,25-44,Male,White Hispanic
Manhattan,28,No,18-24,Male,Black
The Bronx,47,No,25-44,Male,Black
Brooklyn,71,No,25-44,Male,Black
Brooklyn,67,No,25-44,Male,Black
The Bronx,49,No,18-24,Male,White Hispanic
Queens,105,No,25-44,Male,Black
Queens,114,No,25-44,Female,Black
Queens,114,No,25-44,Male,Black
Brooklyn,79,No,25-44,Male,Black
Manhattan,28,No,18 And Under,Male,Black
Brooklyn,88,No,18-24,Male,Black
Queens,113,No,25-44,Male,Black
Queens,106,No,25-44,Male,Black
The Bronx,44,No,25-44,Male,White Hispanic
The Bronx,44,No,25-44,Male,White Hispanic
Manhattan,23,No,25-44,Male,Black
Manhattan,23,No,25-44,Male,Black
Manhattan,32,Yes,18-24,Male,Black
Brooklyn,73,No,45-64,Male,Black
Brooklyn,90,No,25-44,Male,Black
Brooklyn,90,Yes,25-44,Male,Black
Brooklyn,90,No,18 And Under,Male,Black
Brooklyn,90,Yes,18 And Under,Male,Black
Brooklyn,90,No,18 And Under,Male,Black
Brooklyn,81,No,25-44,Female,Black Hispanic
Queens,103,No,18-24,Male,Black
The Bronx,44,No,18-24,Female,Black Hispanic
The Bronx,44,No,25-44,Female,Black Hispanic
The Bronx,44,No,25-44,Male,Black Hispanic
Brooklyn,75,Yes,18 And Under,Male,Black
Queens,105,Yes,25-44,Male,Black
Manhattan,19,No,25-44,Male,Black
The Bronx,50,Yes,45-64,Male,White Hispanic
Brooklyn,79,No,25-44,Male,Black
Brooklyn,84,No,25-44,Female,Black Hispanic
Brooklyn,84,No,25-44,Male,Black
Brooklyn,83,No,25-44,Male,Black
Brooklyn,81,Yes,18 And Under,Male,Black
The Bronx,45,No,25-44,Male,White
Brooklyn,88,No,18-24,Male,White Hispanic
Brooklyn,90,No,18-24,Male,Black
Brooklyn,67,No,Over 65,Male,Black
Staten Island,120,Yes,Over 65,Female,Black
Staten Island,120,Yes,Over 65,Female,Black
Brooklyn,67,Yes,25-44,Male,Black
The Bronx,44,Yes,45-64,Male,Black
The Bronx,40,No,18-24,Male,Black
The Bronx,40,No,18-24,Male,White Hispanic
Brooklyn,70,No,18-24,Male,Black
The Bronx,47,No,25-44,Male,Black
The Bronx,41,No,18-24,Male,White Hispanic
